의료기관명,주소
갈바리의원,강원특별자치도 강릉시 임영로163번길 24-8 (홍제동)
동원한의원,강원특별자치도 강릉시 임영로 142-1 (임당동)
강현규치과의원,강원특별자치도 강릉시 금성로42번길 14 (임당동)
진생한의원,강원특별자치도 강릉시 주문진읍 주문로 49
경희한의원,강원특별자치도 강릉시 경강로2119번길 5-1 (옥천동)
염한의원,강원특별자치도 강릉시 강릉대로 242 (교동)
정치과의원,강원특별자치도 강릉시 문화의길 14-1 (임당동)
신생한의원,강원특별자치도 강릉시 문화의길 18 (임당동)
공내과의원,강원특별자치도 강릉시 옥가로 53-1 (교동)
대동의원,강원특별자치도 강릉시 주문진읍 주문로 81
인성치과의원,"강원특별자치도 강릉시 성덕포남로 75, 3층 (입암동, 대성빌딩)"
의료법인 강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동)
강원도강릉의료원,강원특별자치도 강릉시 경강로 2007 (남문동)
이상용내과의원,강원특별자치도 강릉시 금성로22번길 12 (금학동)
중앙정형외과의원,강원특별자치도 강릉시 금성로42번길 9 (금학동)
제일이비인후과의원,강원특별자치도 강릉시 문화의길 15 (임당동)
유주왕외과의원,강원특별자치도 강릉시 주문진읍 해안3길 7
관동치과의원,강원특별자치도 강릉시 범일로 604 (내곡동)
보생한의원,강원특별자치도 강릉시 강릉대로 158 (교동)
이도현성형외과의원,강원특별자치도 강릉시 하평1길 14 (포남동)
연세치과의원,강원특별자치도 강릉시 주문진읍 주문로 69
정의흠외과의원,강원특별자치도 강릉시 경강로 2085 (임당동)
한중한의원,강원특별자치도 강릉시 금성로 27-2 (성남동)
김재구치과의원,강원특별자치도 강릉시 경강로 2068 (성내동)
행복이송송치과의원,강원특별자치도 강릉시 신대학길 20 (금학동)
제일내과의원,강원특별자치도 강릉시 문화의길 15 (임당동)
중화당한의원,강원특별자치도 강릉시 금성로22번길 10 (금학동)
성심외과의원,강원특별자치도 강릉시 율곡로 2792 (성남동)
이승우치과의원,강원특별자치도 강릉시 금성로 7 (성남동)
김이비인후과의원,강원특별자치도 강릉시 금성로22번길 12 (금학동)
중앙치과의원,강원특별자치도 강릉시 금성로22번길 10 (금학동)
박비뇨기과의원,강원특별자치도 강릉시 경강로 2092-1 (임당동)
윤이비인후과의원,강원특별자치도 강릉시 금성로 42 (금학동)
김홍근의원,강원특별자치도 강릉시 주문진읍 주문로 68
권혁태치과의원,강원특별자치도 강릉시 주문진읍 주문로 68-1
의산의료재단 강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동)
장신경과의원,강원특별자치도 강릉시 경강로2095번길 3 (임당동)
김남원내과의원,"강원특별자치도 강릉시 경강로 2120, 5층 505호 (옥천동, 시네몰)"
우신김비뇨기과의원,강원특별자치도 강릉시 경강로 2082 (임당동)
최한의원,강원특별자치도 강릉시 경강로 2099 (임당동)
최근준치과의원,강원특별자치도 강릉시 경강로 2108 (임당동)
김은겸치과의원,강원특별자치도 강릉시 금성로 46 (금학동)
약손치과의원,"강원특별자치도 강릉시 경강로 2098, 2층 (임당동, 동해칼라)"
강릉치과의원,"강원특별자치도 강릉시 경강로 2110, 4층 (임당동, 동아빌딩)"
김치과의원,강원특별자치도 강릉시 주문진읍 주문로 70
에스엠 가정의학과의원,강원특별자치도 강릉시 주문진읍 주문로 97
국군강릉병원,강원특별자치도 강릉시 주문진읍 동해대로 4371-34
강릉연세요양병원,강원특별자치도 강릉시 옥가로 70 (옥천동)
연세피부과의원,"강원특별자치도 강릉시 경강로 2079, 4층 (임당동)"
아름다운피부과의원,"강원특별자치도 강릉시 경강로 2100, 3층 (임당동, 신영빌딩)"
윤내과의원,"강원특별자치도 강릉시 경강로 2082, 2층 (임당동)"
현소아청소년과의원,"강원특별자치도 강릉시 성덕포남로 75, 2층 (입암동, 대성빌딩)"
경선산부인과의원,강원특별자치도 강릉시 옥가로7번길 3 (옥천동)
차명호신경외과의원,강원특별자치도 강릉시 옥가로 20 (옥천동)
홍내과의원,강원특별자치도 강릉시 금성로 18 (금학동)
이종화외과의원,강원특별자치도 강릉시 강릉대로 165 (교동)
이종원내과의원,강원특별자치도 강릉시 성덕포남로 189 (포남동)
